Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Luke Kornet,C,25,BOS,62,4,696,88,202,0.43564356435643564,30,118,0.2542372881355932,58,84,2.124,0.5099009900990099,6,12,0.5,28,106,134,48,8,64,14,40,212,2250000
Rodions Kurucs,SF,22,MIL,42,0,250,22,64,0.34375,12,42,0.2857142857142857,10,22,1.455,0.4375,6,8,0.75,10,36,46,20,18,8,26,32,62,1780152
Kyle Kuzma,SF,25,LAL,68,32,1954,335,757,0.4425363276089828,137,380,0.3605263157894737,198,377,0.525,0.5330250990752973,67,97,0.6907216494845361,108,309,417,127,35,41,113,121,874,3562178
Anthony Lamb,SF,23,HOU,24,3,415,46,118,0.3898305084745763,23,71,0.323943661971831,23,47,0.489,0.4872881355932203,18,21,0.8571428571428571,27,43,70,23,6,5,19,34,133,215330
Jeremy Lamb,SG,28,IND,36,8,765,120,276,0.43478260869565216,52,128,0.40625,68,148,0.45899999999999996,0.5289855072463768,71,75,0.9466666666666667,25,106,131,53,34,23,22,72,363,10500000
Romeo Langford,SG,21,BOS,18,4,283,21,59,0.3559322033898305,5,18,0.2777777777777778,16,41,0.39,0.3983050847457627,9,12,0.75,12,23,35,13,6,5,10,24,56,3631200
Zach LaVine,SG,25,CHI,58,58,2034,569,1123,0.5066785396260017,200,477,0.4192872117400419,369,646,0.5710000000000001,0.5957257346393589,253,298,0.8489932885906041,36,253,289,282,46,27,203,138,1591,19500000
Jake Layman,SF,26,MIN,45,11,627,91,184,0.4945652173913043,23,78,0.2948717948717949,68,106,0.642,0.5570652173913043,26,37,0.7027027027027027,13,54,67,28,29,19,26,44,231,3761085
TJ Leaf,PF,23,POR,7,0,35,5,10,0.5,0,0,0.0,5,10,0.5,0.5,2,2,1.0,0,5,5,1,2,1,2,1,12,4431423
Jalen Lecque,PG,20,IND,4,0,12,1,9,0.1111111111111111,0,1,0.0,1,8,0.125,0.1111111111111111,3,3,1.0,2,3,5,2,0,0,0,0,5,1517981
Damion Lee,SG,28,GSW,57,1,1079,128,274,0.46715328467153283,77,194,0.39690721649484534,51,80,0.638,0.6076642335766423,40,44,0.9090909090909091,22,158,180,73,38,8,30,89,373,1762796
Saben Lee,PG,21,DET,48,7,781,99,210,0.4714285714285714,8,23,0.34782608695652173,91,187,0.48700000000000004,0.49047619047619045,61,89,0.6853932584269663,20,77,97,174,32,13,55,76,267,516836
Alex Len,C,27,WAS,128,84,1958,342,556,0.6151079136690647,16,50,0.32,326,506,1.7910000000000001,0.6294964028776978,146,232,0.6293103448275862,156,364,520,98,40,128,110,254,846,3970648
Kawhi Leonard,SF,29,LAC,52,52,1773,465,908,0.512114537444934,101,254,0.39763779527559057,364,654,0.557,0.5677312775330396,261,295,0.8847457627118644,55,282,337,269,81,21,105,82,1292,34379100
Meyers Leonard,C,28,MIA,3,2,29,3,7,0.42857142857142855,3,7,0.42857142857142855,0,0,0.0,0.6428571428571429,1,2,0.5,0,7,7,2,0,0,2,5,10,9400000
Caris LeVert,SG,26,IND,94,78,2972,718,1628,0.44103194103194104,168,516,0.32558139534883723,550,1112,1.47,0.4926289926289926,292,360,0.8111111111111111,66,362,428,490,132,60,204,210,1896,16203704
Kira Lewis,PG,19,NOP,54,0,904,130,337,0.3857566765578635,40,120,0.3333333333333333,90,217,0.415,0.44510385756676557,43,51,0.8431372549019608,12,59,71,124,38,10,34,88,343,3640200
Damian Lillard,PG,30,POR,67,67,2398,602,1334,0.4512743628185907,275,704,0.390625,327,630,0.519,0.5543478260869565,449,484,0.9276859504132231,32,251,283,505,62,17,203,102,1928,31626953
Nassir Little,PF,20,POR,48,2,640,78,167,0.46706586826347307,28,80,0.35,50,87,0.575,0.5508982035928144,36,45,0.8,32,96,128,23,5,13,18,51,220,2210640
Kevon Looney,C,24,GSW,61,34,1161,108,197,0.5482233502538071,4,17,0.23529411764705882,104,180,0.578,0.5583756345177665,31,48,0.6458333333333334,117,205,322,119,21,22,37,136,251,4821429
Brook Lopez,C,32,MIL,70,70,1902,322,640,0.503125,95,281,0.33807829181494664,227,359,0.632,0.57734375,120,142,0.8450704225352113,104,243,347,50,40,103,64,149,859,12697675
Robin Lopez,C,32,WAS,71,9,1354,269,425,0.6329411764705882,5,18,0.2777777777777778,264,407,0.649,0.6388235294117647,99,137,0.7226277372262774,141,131,272,55,15,44,75,109,642,7300000
Didi Louzada,SF,21,NOP,3,0,56,3,13,0.23076923076923078,2,8,0.25,1,5,0.2,0.3076923076923077,0,0,0.0,1,2,3,3,2,0,3,5,8,123056
Kevin Love,PF,32,CLE,25,25,622,103,252,0.4087301587301587,57,156,0.36538461538461536,46,96,0.479,0.5218253968253969,42,51,0.8235294117647058,17,169,186,63,16,2,38,26,305,31258256
Kyle Lowry,PG,34,TOR,46,46,1601,260,596,0.436241610738255,131,331,0.3957703927492447,129,265,0.48700000000000004,0.5461409395973155,140,160,0.875,35,212,247,338,45,14,126,143,791,30500000
Timothe Luwawu,SF,25,BRK,58,7,1050,130,356,0.3651685393258427,75,239,0.3138075313807531,55,117,0.47,0.4705056179775281,35,43,0.813953488372093,28,101,129,69,33,6,43,99,370,1824003
Trey Lyles,PF,25,SAS,23,9,358,43,90,0.4777777777777778,14,40,0.35,29,50,0.58,0.5555555555555556,15,23,0.6521739130434783,9,77,86,14,6,1,6,13,115,5500000
Will Magnay,C,22,NOP,1,0,3,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,341481
Thon Maker,C,23,CLE,8,0,76,10,18,0.5555555555555556,0,2,0.0,10,16,0.625,0.5555555555555556,10,11,0.9090909090909091,8,10,18,4,2,4,3,7,30,1737145
Theo Maledon,PG,19,OKC,65,49,1778,226,614,0.36807817589576547,105,313,0.3354632587859425,121,301,0.402,0.4535830618892508,101,135,0.7481481481481481,25,186,211,227,56,11,141,126,658,2000000
Karim Mane,PG,20,ORL,10,0,88,3,13,0.23076923076923078,1,2,0.5,2,11,0.182,0.2692307692307692,4,5,0.8,1,13,14,4,0,2,3,10,11,344557
Terance Mann,SG,24,LAC,67,10,1263,178,350,0.5085714285714286,38,91,0.4175824175824176,140,259,0.541,0.5628571428571428,78,94,0.8297872340425532,56,186,242,104,29,13,40,126,472,1517981
Nico Mannion,PG,19,GSW,30,1,364,39,114,0.34210526315789475,22,60,0.36666666666666664,17,54,0.315,0.43859649122807015,23,28,0.8214285714285714,6,40,46,70,16,1,31,29,123,449115
Boban Marjanovic,C,32,DAL,33,3,271,62,122,0.5081967213114754,1,8,0.125,61,114,0.535,0.5122950819672131,31,38,0.8157894736842105,47,81,128,10,2,6,12,29,156,3500000
Lauri Markkanen,PF,23,CHI,51,26,1317,250,521,0.4798464491362764,119,296,0.40202702702702703,131,225,0.5820000000000001,0.5940499040307101,76,92,0.8260869565217391,35,233,268,45,26,15,52,75,695,6731508
Naji Marshall,SF,23,NOP,32,10,700,82,209,0.3923444976076555,29,83,0.3493975903614458,53,126,0.42100000000000004,0.46172248803827753,53,75,0.7066666666666667,15,133,148,88,26,10,38,58,246,538391
Caleb Martin,SF,25,CHO,53,3,818,96,256,0.375,31,125,0.248,65,131,0.496,0.435546875,41,64,0.640625,31,110,141,67,37,12,33,62,264,1517981
Cody Martin,SF,25,CHO,52,10,849,83,188,0.44148936170212766,16,58,0.27586206896551724,67,130,0.515,0.48404255319148937,25,43,0.5813953488372093,52,109,161,86,37,12,40,52,207,1517981
Jeremiah Martin,PG,24,CLE,9,0,75,9,33,0.2727272727272727,3,12,0.25,6,21,0.28600000000000003,0.3181818181818182,1,5,0.2,2,5,7,4,5,2,6,1,22,58452
Kelan Martin,SF,25,IND,35,0,322,62,138,0.4492753623188406,24,60,0.4,38,78,0.48700000000000004,0.5362318840579711,9,10,0.9,18,60,78,17,10,10,16,35,157,1445697
KJ Martin,SF,20,HOU,45,8,1068,162,318,0.5094339622641509,35,96,0.3645833333333333,127,222,0.5720000000000001,0.5644654088050315,60,84,0.7142857142857143,73,169,242,48,30,41,38,89,419,898310
Frank Mason,PG,26,ORL,4,1,79,9,24,0.375,2,5,0.4,7,19,0.368,0.4166666666666667,5,7,0.7142857142857143,3,9,12,12,0,0,5,7,25,39989
Garrison Mathews,SG,24,WAS,64,24,1038,97,237,0.4092827004219409,76,198,0.3838383838383838,21,39,0.5379999999999999,0.569620253164557,84,95,0.8842105263157894,16,71,87,26,29,7,10,106,354,688052
Dakota Mathias,SG,25,PHI,8,2,123,19,48,0.3958333333333333,8,26,0.3076923076923077,11,22,0.5,0.4791666666666667,2,6,0.3333333333333333,1,6,7,13,1,3,1,7,48,86132
Wesley Matthews,SG,34,LAL,58,10,1130,89,252,0.3531746031746032,66,197,0.3350253807106599,23,55,0.418,0.48412698412698413,35,41,0.8536585365853658,20,73,93,54,38,17,26,80,279,3623000
Tyrese Maxey,SG,20,PHI,61,8,935,198,429,0.46153846153846156,31,103,0.30097087378640774,167,326,0.512,0.4976689976689977,61,70,0.8714285714285714,11,93,104,120,26,13,41,79,488,2478840
Skylar Mays,SG,23,ATL,33,0,269,44,98,0.4489795918367347,14,40,0.35,30,58,0.517,0.5204081632653061,22,25,0.88,10,25,35,30,14,2,9,15,124,532218
Patrick McCaw,SF,25,TOR,5,0,33,1,1,1.0,0,0,0.0,1,1,1.0,1.0,3,3,1.0,1,2,3,4,2,0,0,6,5,4000000
CJ McCollum,SG,29,POR,47,47,1600,405,884,0.4581447963800905,169,420,0.4023809523809524,236,464,0.509,0.5537330316742082,108,133,0.8120300751879699,30,155,185,223,44,21,65,87,1087,29354152
TJ McConnell,PG,28,IND,69,3,1796,274,490,0.5591836734693878,15,48,0.3125,259,442,0.586,0.5744897959183674,33,48,0.6875,55,201,256,456,128,23,135,113,596,3500000
Jaden McDaniels,PF,20,MIN,63,27,1511,164,367,0.44686648501362397,72,198,0.36363636363636365,92,169,0.544,0.5449591280653951,27,45,0.6,52,180,232,71,35,60,47,172,427,1964760
Jalen McDaniels,SF,23,CHO,47,18,904,133,284,0.46830985915492956,35,105,0.3333333333333333,98,179,0.547,0.5299295774647887,45,64,0.703125,45,124,169,53,28,19,45,95,346,1517981
Doug McDermott,PF,29,IND,66,29,1619,354,665,0.5323308270676692,111,286,0.3881118881118881,243,379,0.6409999999999999,0.6157894736842106,80,98,0.8163265306122449,60,161,221,85,20,6,53,117,899,7333333
Sean McDermott,SF,24,MEM,18,0,158,13,33,0.3939393939393939,5,22,0.22727272727272727,8,11,0.727,0.4696969696969697,8,8,1.0,6,13,19,4,2,3,4,8,39,449115
JaVale McGee,C,33,DEN,92,4,1356,288,564,0.5106382978723404,10,48,0.20833333333333334,278,516,1.596,0.5195035460992907,88,134,0.6567164179104478,154,324,478,78,38,108,120,242,674,4200000
Rodney McGruder,SG,29,DET,16,2,194,37,70,0.5285714285714286,11,24,0.4583333333333333,26,46,0.565,0.6071428571428571,6,8,0.75,8,14,22,16,8,1,7,12,91,5192307
Alfonzo McKinnie,SF,28,LAL,39,0,258,48,93,0.5161290322580645,16,39,0.41025641025641024,32,54,0.593,0.6021505376344086,10,18,0.5555555555555556,22,32,54,6,7,0,5,26,122,1762796
Jordan McLaughlin,PG,24,MIN,51,2,938,100,242,0.4132231404958678,33,92,0.358695652173913,67,150,0.447,0.48140495867768596,23,30,0.7666666666666667,21,87,108,193,51,6,51,44,256,503760
Ben McLemore,SG,27,LAL,106,10,1810,270,730,0.3698630136986301,194,560,0.3464285714285714,76,170,1.359,0.5027397260273972,78,106,0.7358490566037735,30,170,200,78,46,18,84,176,812,2893630
Nicolo Melli,PF,30,DAL,90,8,1132,92,282,0.3262411347517731,46,170,0.27058823529411763,46,112,1.216,0.4078014184397163,38,50,0.76,58,186,244,88,28,6,24,116,268,3897436
De'Anthony Melton,PG,22,MEM,52,1,1045,172,393,0.43765903307888043,87,211,0.41232227488151657,85,182,0.467,0.5483460559796438,41,51,0.803921568627451,30,131,161,132,60,31,66,85,472,9571712
Sam Merrill,SG,24,MIL,30,2,233,32,72,0.4444444444444444,21,47,0.44680851063829785,11,25,0.44,0.5902777777777778,4,4,1.0,6,24,30,21,8,1,10,17,89,898310
Chimezie Metu,C,23,SAC,36,6,488,91,179,0.5083798882681564,13,37,0.35135135135135137,78,142,0.5489999999999999,0.5446927374301676,31,43,0.7209302325581395,31,81,112,28,14,18,29,59,226,910895
Khris Middleton,SF,29,MIL,68,68,2269,511,1074,0.4757914338919926,151,365,0.4136986301369863,360,709,0.508,0.5460893854748603,212,236,0.8983050847457628,54,352,406,370,74,9,178,160,1385,33051724
Darius Miller,SF,30,OKC,18,0,197,22,48,0.4583333333333333,17,42,0.40476190476190477,5,6,0.833,0.6354166666666666,12,12,1.0,2,22,24,21,13,5,8,13,73,7000000
